"","Year","Rank","Teams","Conf","WinLoss","AdjustedEM","AdOfE","AdOfER","AdDeE","AdDeER","AdTempo","AdTempoR","Luck","LuckRank","AdSoS","AdSoSR"
"27",2003,"27","Purdue 9","B10","19-11","+17.42","107.0","87","89.6","11","69.3","71","-.012","194","+9.53","17"
"28",2003,"28","Missouri 6","B12","22-11","+17.32","111.5","27","94.2","34","66.9","173","+.043","68","+11.14","5"
"29",2003,"29","Memphis 7","CUSA","23-7","+16.72","110.9","35","94.1","33","68.3","109","+.005","151","+4.84","84"
"30",2003,"30","Arizona St. 10","P10","20-12","+16.49","113.9","18","97.4","78","66.9","169","-.014","201","+8.74","30"
"31",2003,"31","Butler 12","Horz","27-6","+16.09","115.4","11","99.3","110","58.6","325","+.073","24","+4.10","91"
"32",2003,"32","Texas Tech","B12","21-13","+15.89","109.3","53","93.4","26","66.2","197","-.027","233","+8.92","26"
"33",2003,"33","Gonzaga 9","WCC","24-9","+15.58","113.2","21","97.7","82","66.9","170","-.021","220","+3.93","93"
"34",2003,"34","Colorado 10","B12","20-12","+15.27","109.1","56","93.8","28","69.9","56","+.001","162","+9.02","23"
"35",2003,"35","Georgetown","BE","19-15","+14.91","107.1","86","92.2","19","70.7","38","-.101","317","+7.95","41"
"36",2003,"36","Cincinnati 8","CUSA","17-12","+14.69","105.0","116","90.3","13","66.4","188","-.069","297","+7.35","50"
"37",2003,"37","UNC Wilmington 11","CAA","24-7","+14.62","109.5","49","94.9","43","64.1","279","-.031","248","-2.47","209"
"38",2003,"38","Alabama 10","SEC","17-12","+14.60","110.3","39","95.7","54","65.3","243","-.015","205","+9.55","16"
"39",2003,"39","Stanford 4","P10","24-9","+14.57","109.8","46","95.2","49","65.6","226","+.066","35","+7.26","53"
"40",2003,"40","Dayton 4","A10","24-6","+14.53","116.4","8","101.9","161","64.4","270","+.084","14","+4.93","83"
"41",2003,"41","Indiana 7","B10","21-13","+14.48","113.4","20","98.9","102","63.7","284","+.050","57","+10.49","8"
"42",2003,"42","Oregon 8","P10","23-10","+14.25","111.4","29","97.1","73","71.2","28","+.032","87","+5.24","75"
"43",2003,"43","Georgia Tech","ACC","16-15","+14.23","109.1","57","94.8","39","69.0","80","-.092","310","+9.23","20"
"44",2003,"44","Utah 9","MWC","25-8","+14.04","106.6","91","92.6","23","62.1","308","+.069","32","+5.23","76"
"45",2003,"45","Providence","BE","18-14","+13.85","108.0","69","94.1","32","67.0","166","-.051","282","+7.91","43"
"46",2003,"46","Auburn 10","SEC","22-12","+13.63","107.7","74","94.1","31","66.6","181","+.051","52","+8.22","39"
"47",2003,"47","California 8","P10","22-9","+13.59","109.9","45","96.3","63","65.9","208","+.061","42","+7.06","57"
"48",2003,"48","Penn 11","Ivy","22-6","+13.35","110.3","41","96.9","68","63.3","290","+.035","82","-1.53","182"
"49",2003,"49","Boston College","BE","19-12","+13.30","117.7","4","104.4","203","68.2","112","+.034","85","+8.51","33"
"50",2003,"50","North Carolina St. 9","ACC","18-13","+13.18","111.2","30","98.1","88","65.0","257","-.023","223","+8.48","34"
"51",2003,"51","Tulsa 13","WAC","23-10","+13.04","107.9","70","94.9","41","67.4","150","-.061","291","+1.05","139"
"52",2003,"52","Milwaukee 12","Horz","23-8","+12.97","109.0","60","96.0","59","71.2","31","+.025","101","+2.06","121"
"53",2003,"53","Seton Hall","BE","17-13","+12.26","104.6","122","92.3","20","65.7","223","+.022","111","+9.26","19"
"54",2003,"54","North Carolina","ACC","19-16","+12.15","107.9","72","95.8","57","68.3","110","+.024","104","+11.23","3"
"55",2003,"55","Southern Illinois 11","MVC","24-7","+11.76","110.3","40","98.6","96","67.8","125","+.063","39","+1.97","124"
"56",2003,"56","Western Kentucky 13","SB","24-9","+11.75","108.0","65","96.3","61","67.2","156","+.035","78","+1.09","138"
"57",2003,"57","Villanova","BE","15-16","+11.17","106.6","93","95.4","51","68.8","86","-.059","289","+9.49","18"
"58",2003,"58","Tennessee","SEC","17-12","+10.99","108.0","66","97.0","71","64.7","268","+.026","98","+8.54","32"
"59",2003,"59","Mississippi","SEC","14-15","+10.89","111.2","31","100.3","130","62.8","298","-.099","313","+7.19","54"
"60",2003,"60","Kansas St.","B12","13-17","+10.87","107.9","73","97.0","70","65.7","222","-.154","327","+6.95","59"
"61",2003,"61","Michigan","B10","17-13","+10.71","109.0","59","98.3","91","65.1","252","+.024","107","+7.33","51"
"62",2003,"62","Illinois Chicago","Horz","21-9","+10.64","110.5","38","99.9","123","68.4","106","+.024","105","+1.02","140"
"63",2003,"63","Detroit","Horz","18-12","+10.60","109.6","48","99.0","105","64.4","272","-.089","309","+1.19","134"
"64",2003,"64","Iowa St.","B12","16-14","+10.59","106.3","98","95.7","53","66.3","192","-.045","276","+6.18","69"
"65",2003,"65","Louisiana Lafayette","SB","19-10","+10.52","107.9","71","97.4","76","69.8","60","-.014","202","+2.75","112"
"66",2003,"66","Holy Cross 14","Pat","25-5","+10.40","105.5","107","95.1","45","65.1","250","+.065","37","-5.57","260"
"67",2003,"67","St. John's","BE","21-13","+10.06","105.4","109","95.3","50","67.0","165","+.035","77","+6.76","62"
"68",2003,"68","Manhattan 14","MAAC","23-7","+10.04","105.5","106","95.4","52","68.1","117","+.014","125","-1.71","184"
"69",2003,"69","DePaul","CUSA","16-13","+10.04","105.1","115","95.1","47","65.8","214","-.004","173","+6.51","63"
"70",2003,"70","Central Michigan 11","MAC","25-7","+10.01","109.5","51","99.4","113","71.7","20","+.137","3","+2.06","122"
"71",2003,"71","UNLV","MWC","21-11","+9.84","108.1","63","98.2","90","70.3","49","+.022","112","+3.16","105"
"72",2003,"72","Minnesota","B10","19-14","+9.68","107.4","80","97.7","83","70.7","39","+.018","121","+7.04","58"
"73",2003,"73","UAB","CUSA","20-13","+9.45","105.2","113","95.8","56","73.9","4","-.008","185","+3.90","94"
"74",2003,"74","Temple","A10","18-16","+9.34","108.0","68","98.6","97","63.2","291","+.028","92","+8.09","40"
"75",2003,"75","Ohio St.","B10","17-15","+8.93","103.2","147","94.3","35","64.2","277","+.052","50","+9.62","15"
"76",2003,"76","Weber St. 12","BSky","25-5","+8.88","111.4","28","102.5","172","66.5","186","+.073","26","-1.73","185"
"77",2003,"77","Florida St.","ACC","14-15","+8.84","100.9","194","92.0","18","67.5","144","-.052","283","+7.40","48"
"78",2003,"78","Iowa","B10","17-14","+8.50","106.4","96","97.9","85","67.1","160","-.018","209","+5.72","70"
"79",2003,"79","Saint Louis","CUSA","16-14","+8.34","104.1","131","95.8","55","58.9","323","+.026","100","+7.12","55"
"80",2003,"80","San Diego 13","WCC","17-12","+8.32","104.7","119","96.4","64","70.9","34","+.003","160","+3.37","100"
"81",2003,"81","South Carolina","SEC","12-16","+8.31","103.1","150","94.8","38","65.5","235","-.028","239","+9.76","14"
"82",2003,"82","Virginia","ACC","16-16","+8.20","108.8","61","100.6","135","68.4","101","+.026","96","+10.13","12"
"83",2003,"83","Nevada","WAC","17-14","+8.19","108.0","64","99.9","122","68.8","85","-.097","311","+2.29","118"
"84",2003,"84","St. Bonaventure","A10","13-14","+8.07","112.8","23","104.8","213","71.3","24","-.070","298","+5.51","73"
"85",2003,"85","Southwest Missouri St.","MVC","17-12","+8.04","100.6","199","92.5","22","63.5","287","-.075","300","-0.01","153"
"86",2003,"86","Western Michigan","MAC","20-11","+7.66","101.7","174","94.0","30","65.3","242","+.015","124","+1.19","135"
"87",2003,"87","New Mexico St.","SB","19-9","+7.51","107.7","78","100.2","128","67.2","157","-.005","177","-0.93","169"
"88",2003,"88","Utah St. 15","BW","22-9","+7.41","107.1","85","99.7","117","61.0","315","+.003","159","-2.00","193"
"89",2003,"89","Texas A&M","B12","14-14","+6.97","104.4","126","97.4","77","70.4","44","+.022","113","+7.68","46"
"90",2003,"90","Vanderbilt","SEC","11-18","+6.78","103.7","135","96.9","69","69.3","68","-.049","278","+10.95","7"
"91",2003,"91","USC","P10","13-17","+6.74","105.2","114","98.4","93","73.3","5","-.055","284","+7.38","49"
"92",2003,"92","San Diego St.","MWC","15-13","+6.69","108.0","67","101.3","149","66.9","171","-.023","226","+3.60","99"
"93",2003,"93","Valparaiso","MCon","20-11","+6.66","103.7","134","97.1","72","65.8","215","+.021","116","-1.51","181"
"94",2003,"94","Kent St.","MAC","20-10","+6.51","111.2","32","104.7","210","66.7","179","+.023","110","+0.52","144"
"95",2003,"95","UC Santa Barbara","BW","18-14","+6.46","104.2","129","97.7","84","61.4","314","-.080","304","-0.90","168"
"96",2003,"96","Wyoming","MWC","21-11","+6.34","108.5","62","102.2","168","68.0","121","+.081","21","+3.04","109"
"97",2003,"97","Richmond","A10","15-14","+6.28","101.4","180","95.2","48","62.1","306","-.037","264","+3.77","95"
"98",2003,"98","Fresno St.","WAC","20-8","+6.26","105.2","112","98.9","104","65.7","221","+.061","43","-0.82","165"
"99",2003,"99","Troy St. 14","ASun","25-6","+6.15","106.9","88","100.8","140","70.3","47","+.105","9","-5.20","253"
"100",2003,"100","Miami FL","BE","11-17","+6.10","103.3","146","97.2","74","65.8","212","-.118","324","+6.88","60"
"101",2003,"101","Rutgers","BE","12-16","+6.01","100.9","193","94.9","44","68.7","91","-.041","270","+8.36","35"
"102",2003,"102","Baylor","B12","14-14","+5.97","106.6","92","100.7","137","65.6","225","-.006","178","+5.20","77"
"103",2003,"103","Charlotte","CUSA","13-16","+5.97","104.5","125","98.5","94","65.8","217","-.007","182","+7.58","47"
"104",2003,"104","Colorado St. 14","MWC","17-14","+5.96","110.6","37","104.6","205","67.1","162","+.031","88","+4.39","89"
"105",2003,"105","Clemson","ACC","15-13","+5.75","107.3","82","101.6","152","63.6","285","+.026","94","+5.06","80"
"106",2003,"106","Murray St.","OVC","15-12","+5.53","107.3","81","101.8","157","65.5","233","-.082","306","-1.81","189"
"107",2003,"107","UCLA","P10","10-19","+5.46","107.2","84","101.7","156","69.3","69","-.065","294","+9.15","21"
"108",2003,"108","Tulane","CUSA","15-15","+5.36","106.8","90","101.4","151","65.5","236","-.064","293","+3.04","108"
"109",2003,"109","Eastern Washington","BSky","17-13","+5.29","102.9","155","97.6","81","67.9","123","-.031","250","+0.29","147"
"110",2003,"110","George Washington","A10","12-17","+5.18","107.2","83","102.1","163","68.6","96","-.078","302","+5.12","79"
"111",2003,"111","Drexel","CAA","18-12","+5.02","101.7","173","96.7","65","67.6","138","+.013","129","+0.22","150"
"112",2003,"112","Rice","WAC","17-10","+4.73","105.8","102","101.1","144","69.2","73","+.063","40","+0.02","152"
"113",2003,"113","West Virginia","BE","14-15","+4.71","104.7","120","99.9","126","65.0","253","+.055","49","+7.74","45"
"114",2003,"114","South Florida","CUSA","14-14","+4.49","101.3","184","96.8","67","67.9","124","+.007","143","+4.25","90"
"115",2003,"115","Hawaii","WAC","19-12","+4.33","102.9","156","98.5","95","65.8","213","+.057","45","+1.30","132"
"116",2003,"116","Rhode Island","A10","19-12","+4.33","101.6","176","97.3","75","68.5","100","+.112","7","+3.30","102"
"117",2003,"117","George Mason","CAA","16-12","+4.26","98.1","241","93.8","27","64.9","262","-.022","222","-1.20","178"
"118",2003,"118","San Francisco","WCC","14-14","+4.19","109.1","55","104.9","219","63.2","293","-.020","215","+2.16","120"
"119",2003,"119","UC Irvine","BW","19-9","+4.10","103.6","137","99.5","115","65.5","237","+.077","23","-2.03","196"
"120",2003,"120","College of Charleston","SC","23-8","+4.08","102.5","159","98.4","92","67.1","161","+.079","22","-2.83","214"
"121",2003,"121","VCU","CAA","18-10","+4.06","103.4","144","99.3","111","69.1","78","-.009","189","-4.26","240"
"122",2003,"122","Siena","MAAC","21-11","+3.89","105.3","110","101.4","150","68.9","83","-.013","199","-2.78","213"
"123",2003,"123","Tennessee Tech","OVC","17-12","+3.86","102.8","157","99.0","106","68.7","87","-.016","207","-2.01","194"
"124",2003,"124","Loyola Chicago","Horz","15-16","+3.85","105.7","103","101.9","159","70.1","52","-.015","204","+2.80","111"
"125",2003,"125","Boston University","AE","20-11","+3.64","102.4","161","98.7","100","64.4","274","+.013","133","-3.75","232"
"126",2003,"126","Middle Tennessee St.","SB","14-14","+3.36","103.8","133","100.5","131","66.0","206","-.006","180","+1.85","125"
"127",2003,"127","Chattanooga","SC","19-9","+3.34","110.6","36","107.3","258","69.2","72","+.034","83","-3.70","230"
"128",2003,"128","Oregon St.","P10","12-15","+3.21","100.7","196","97.5","79","66.9","172","+.006","146","+5.54","72"
"129",2003,"129","UCF","ASun","20-11","+3.18","102.9","154","99.7","118","65.4","239","-.032","255","-5.67","262"
"130",2003,"130","Washington","P10","10-17","+3.12","102.6","158","99.4","112","70.1","51","-.057","287","+6.39","65"
"131",2003,"131","Wichita St.","MVC","18-12","+3.05","107.7","76","104.6","207","67.7","129","+.050","55","+0.07","151"
"132",2003,"132","Toledo","MAC","13-16","+3.03","103.6","139","100.6","133","67.2","154","-.043","272","+2.62","113"
"133",2003,"133","Princeton","Ivy","15-11","+2.99","109.2","54","106.2","241","59.9","319","-.027","235","-1.98","192"
"134",2003,"134","Arkansas","SEC","9-19","+2.95","98.0","243","95.1","46","65.8","211","-.038","266","+10.25","11"
"135",2003,"135","Austin Peay 13","OVC","20-8","+2.65","100.7","197","98.0","86","64.4","273","+.171","1","-0.97","170"
"136",2003,"136","Denver","SB","17-15","+2.53","102.4","162","99.8","121","67.3","153","-.027","232","-0.56","161"
"137",2003,"137","Northern Illinois","MAC","17-14","+2.52","104.6","123","102.1","162","64.8","264","+.050","54","+1.28","133"
"138",2003,"138","Nebraska","B12","11-18","+2.47","97.4","252","94.9","42","66.6","183","+.014","127","+8.97","25"
"139",2003,"139","Miami OH","MAC","12-15","+2.42","101.1","190","98.7","99","56.7","326","-.027","231","+3.14","106"
"140",2003,"140","SMU","WAC","17-13","+2.36","103.6","140","101.2","146","68.2","114","+.070","28","+1.45","129"
"141",2003,"141","Virginia Tech","BE","11-18","+2.34","106.3","97","104.0","191","66.8","176","-.044","274","+6.28","66"
"142",2003,"142","Saint Mary's","WCC","14-15","+2.18","98.5","232","96.3","62","65.6","230","-.045","275","+0.42","146"
"143",2003,"143","Davidson","SC","14-10","+2.18","103.2","148","101.0","143","70.3","48","+.004","154","-2.28","204"
"144",2003,"144","Stephen F. Austin","Slnd","19-8","+2.14","105.6","104","103.5","189","62.6","300","+.003","155","-8.51","293"
"145",2003,"145","Bradley","MVC","12-18","+1.95","103.1","152","101.2","145","68.6","93","-.125","325","+1.11","137"
"146",2003,"146","American","Pat","16-14","+1.95","103.6","141","101.6","153","62.9","297","-.101","314","-5.66","261"
"147",2003,"147","East Tennessee St. 15","SC","17-11","+1.75","101.3","186","99.6","116","75.2","3","+.036","76","-1.80","188"
"148",2003,"148","Pepperdine","WCC","15-13","+1.69","110.2","42","108.5","279","70.8","35","+.042","69","+1.33","131"
"149",2003,"149","Arkansas Little Rock","SB","16-12","+1.63","102.3","163","100.7","138","66.1","205","+.035","81","-0.50","160"
"150",2003,"150","Vermont 16","AE","19-11","+1.57","101.1","191","99.5","114","64.4","271","+.019","119","-5.13","251"
"151",2003,"151","Morehead St.","OVC","17-9","+1.53","109.6","47","108.1","272","67.6","136","+.048","64","-3.68","229"
"152",2003,"152","Air Force","MWC","12-16","+1.27","105.2","111","104.0","192","52.9","327","-.073","299","+1.98","123"
"153",2003,"153","Oral Roberts","MCon","17-10","+1.21","104.6","121","103.4","188","68.1","116","-.030","243","-6.92","274"
"154",2003,"154","Fairfield","MAAC","19-12","+0.94","99.2","220","98.2","89","69.2","77","+.082","17","-1.34","179"
"155",2003,"155","Yale","Ivy","13-13","+0.85","100.1","206","99.2","108","68.7","90","-.038","267","-1.02","174"
"156",2003,"156","South Alabama","SB","12-14","+0.85","105.4","108","104.6","204","65.7","224","-.001","166","+2.51","114"
"157",2003,"157","Sam Houston St. 15","Slnd","21-7","+0.82","101.5","179","100.6","136","67.2","158","+.088","13","-7.41","280"
"158",2003,"158","Brown","Ivy","17-12","+0.76","105.6","105","104.8","215","70.6","41","+.042","70","-2.43","208"
"159",2003,"159","Iona","MAAC","17-12","+0.55","102.2","165","101.7","154","69.0","82","-.033","257","-4.38","241"
"160",2003,"160","Arkansas St.","SB","11-15","+0.48","107.7","77","107.2","256","66.5","185","-.101","318","-0.48","158"
"161",2003,"161","IUPUI 16","MCon","19-14","+0.46","102.9","153","102.5","171","67.0","164","+.071","27","-2.19","201"
"162",2003,"162","Old Dominion","CAA","12-15","+0.30","99.2","219","98.9","103","66.6","182","-.113","320","-2.21","203"
"163",2003,"163","La Salle","A10","12-17","+0.27","102.4","160","102.1","164","67.6","137","+.001","165","+3.99","92"
"164",2003,"164","East Carolina","CUSA","10-15","+0.22","99.3","216","99.1","107","65.2","249","-.018","210","+5.63","71"
"165",2003,"165","Belmont","ASun","17-12","+0.18","103.2","149","103.0","180","67.2","155","+.020","118","-3.18","222"
"166",2003,"166","Southern Miss","CUSA","13-16","+0.16","98.9","224","98.8","101","67.4","147","+.049","60","+3.63","98"
"167",2003,"167","Northwestern","B10","12-17","+0.05","105.0","117","104.9","218","60.4","317","-.003","169","+4.99","82"
"168",2003,"168","Ohio","MAC","14-16","-0.22","104.5","124","104.7","212","65.6","229","+.090","12","+3.25","104"
"169",2003,"169","Ball St.","MAC","13-17","-0.35","106.5","94","106.8","251","70.1","54","+.012","135","+2.41","116"
"170",2003,"170","TCU","CUSA","9-19","-0.41","106.0","99","106.5","243","71.3","27","-.027","237","+4.82","85"
"171",2003,"171","Delaware","CAA","15-14","-0.43","99.5","212","99.9","125","69.0","79","+.007","144","-0.97","171"
"172",2003,"172","New Orleans","SB","13-14","-0.49","101.7","175","102.2","167","66.3","193","+.005","150","-0.03","154"
"173",2003,"173","Appalachian St.","SC","16-10","-0.69","103.5","142","104.2","199","76.1","1","+.081","19","-3.51","224"
"174",2003,"174","Marshall","MAC","13-15","-0.77","102.2","166","102.9","178","67.5","143","-.027","236","-0.61","162"
"175",2003,"175","Mercer","ASun","22-6","-0.84","106.4","95","107.3","257","69.5","65","+.170","2","-9.07","299"
"176",2003,"176","Pacific","BW","12-16","-0.86","99.9","207","100.8","139","66.3","191","-.066","296","-1.06","175"
"177",2003,"177","Niagara","MAAC","17-12","-0.90","109.5","50","110.4","296","66.5","184","+.091","11","-1.85","190"
"178",2003,"178","Akron","MAC","14-14","-0.92","110.0","44","110.9","302","67.0","168","-.025","230","-1.77","187"
"179",2003,"179","Wagner 15","NEC","21-11","-1.16","104.7","118","105.9","238","67.6","134","+.049","61","-7.45","282"
"180",2003,"180","Eastern Illinois","OVC","13-15","-1.29","106.8","89","108.1","273","69.8","62","-.008","187","-0.82","166"
"181",2003,"181","Cal Poly","BW","15-14","-1.38","98.4","234","99.7","119","69.2","75","+.045","65","-1.64","183"
"182",2003,"182","Evansville","MVC","12-16","-1.55","105.9","101","107.5","263","67.5","141","+.048","63","+3.33","101"
"183",2003,"183","Boise St.","WAC","12-16","-1.56","96.0","263","97.5","80","66.7","178","-.032","253","-0.89","167"
"184",2003,"184","Bowling Green","MAC","11-16","-1.88","98.7","230","100.6","134","66.1","202","+.050","58","+3.27","103"
"185",2003,"185","Oakland","MCon","15-11","-2.07","103.7","136","105.7","231","71.3","25","+.007","142","-6.76","273"
"186",2003,"186","Idaho St.","BSky","13-14","-2.21","99.6","208","101.8","158","70.4","46","+.013","131","-2.05","198"
"187",2003,"187","New Mexico","MWC","9-18","-2.27","107.7","75","110.0","293","65.6","228","-.023","225","+3.68","97"
"188",2003,"188","Louisiana Tech","WAC","10-15","-2.35","101.8","171","104.1","197","67.6","135","+.035","80","+3.04","107"
"189",2003,"189","Cal St. Northridge","BW","13-15","-2.53","100.6","198","103.1","183","67.8","126","-.019","213","-2.31","205"
"190",2003,"190","Northern Arizona","BSky","13-13","-2.60","99.5","211","102.1","165","68.1","115","+.005","148","-3.70","231"
"191",2003,"191","Jacksonville St.","ASun","19-10","-2.72","103.5","143","106.2","240","68.4","102","+.065","38","-7.69","287"
"192",2003,"192","UT Arlington","Slnd","14-13","-2.73","97.8","246","100.5","132","62.2","304","+.007","141","-5.69","263"
"193",2003,"193","Montana","BSky","12-16","-2.75","104.3","127","107.1","254","66.1","204","-.020","217","-1.12","176"
"194",2003,"194","Northern Iowa","MVC","10-17","-2.78","102.0","169","104.8","214","64.6","269","-.010","190","+1.60","128"
"195",2003,"195","Massachusetts","A10","10-18","-3.25","96.5","259","99.8","120","64.9","258","-.011","191","+3.75","96"
"196",2003,"196","Southwest Texas St.","Slnd","15-12","-3.28","101.4","182","104.7","209","67.4","148","-.035","261","-7.56","283"
"197",2003,"197","Maine","AE","12-16","-3.32","99.5","209","102.9","175","68.3","108","-.099","312","-5.43","258"
"198",2003,"198","Binghamton","AE","14-13","-3.57","96.7","258","100.3","129","66.1","203","+.007","145","-5.23","254"
"199",2003,"199","Hartford","AE","15-13","-3.68","98.2","239","101.9","160","64.1","280","+.024","108","-6.37","271"
"200",2003,"200","Wofford","SC","10-15","-3.75","104.2","128","108.0","270","68.4","105","+.016","122","-0.27","156"
"201",2003,"201","Green Bay","Horz","9-19","-3.76","103.3","145","107.1","255","64.9","259","-.062","292","+1.65","127"
"202",2003,"202","Canisius","MAAC","10-18","-3.77","99.3","218","103.0","182","68.6","97","-.116","321","-2.58","210"
"203",2003,"203","Eastern Michigan","MAC","12-14","-3.86","104.0","132","107.8","267","72.8","8","+.057","47","-1.01","173"
"204",2003,"204","Loyola Marymount","WCC","11-19","-4.09","98.4","233","102.5","173","69.8","59","-.021","219","+0.23","149"
"205",2003,"205","Samford","ASun","12-15","-4.16","101.0","192","105.1","222","58.8","324","-.008","186","-2.42","207"
"206",2003,"206","Duquesne","A10","9-21","-4.17","99.4","215","103.5","190","68.0","119","-.015","203","+2.99","110"
"207",2003,"207","Portland","WCC","10-17","-4.25","98.7","229","103.0","179","68.2","113","+.011","137","+1.38","130"
"208",2003,"208","Washington St.","P10","7-20","-4.29","101.5","177","105.8","233","68.7","89","-.012","196","+6.23","68"
"209",2003,"209","Penn St.","B10","7-21","-4.58","98.6","231","103.2","185","67.6","133","-.004","171","+8.26","37"
"210",2003,"210","Idaho","BW","12-15","-4.61","96.4","261","101.0","142","62.3","301","+.012","134","-2.90","216"
"211",2003,"211","McNeese St.","Slnd","13-14","-4.78","100.4","203","105.2","226","67.9","122","+.014","126","-4.74","244"
"212",2003,"212","Houston","CUSA","8-20","-4.84","93.2","289","98.0","87","63.2","292","+.021","115","+5.03","81"
"213",2003,"213","Marist","MAAC","13-16","-5.31","101.4","183","106.7","247","68.6","95","+.052","51","-2.01","195"
"214",2003,"214","Northeastern","AE","14-15","-5.33","98.9","225","104.2","200","70.1","53","-.004","174","-4.88","247"
"215",2003,"215","Illinois St.","MVC","8-21","-5.44","99.4","214","104.9","217","65.2","247","-.050","281","+2.34","117"
"216",2003,"216","Wright St.","Horz","9-18","-5.65","102.1","167","107.7","266","66.0","207","+.016","123","+1.17","136"
"217",2003,"217","James Madison","CAA","12-17","-5.66","99.5","210","105.2","225","66.2","196","-.003","170","-2.59","211"
"218",2003,"218","Harvard","Ivy","12-15","-5.69","98.3","236","104.0","194","71.9","19","-.006","179","-3.05","219"
"219",2003,"219","Montana St.","BSky","9-16","-5.70","100.2","205","105.9","237","61.9","311","-.040","269","-2.06","199"
"220",2003,"220","Bucknell","Pat","14-15","-5.75","91.1","301","96.8","66","63.3","289","-.005","176","-5.32","256"
"221",2003,"221","Rider","MAAC","12-16","-5.79","99.2","221","104.9","220","63.2","295","-.013","200","-4.05","238"
"222",2003,"222","Winthrop","BSth","18-10","-5.81","97.1","255","102.9","176","67.4","149","+.055","48","-11.23","313"
"223",2003,"223","Lehigh","Pat","14-12","-5.94","98.3","237","104.2","201","65.2","246","+.030","91","-7.43","281"
"224",2003,"224","Georgia St.","ASun","13-15","-6.14","101.5","178","107.6","265","66.7","180","-.033","258","-6.33","270"
"225",2003,"225","Drake","MVC","8-20","-6.22","101.7","172","107.9","269","62.3","302","-.024","227","+1.66","126"
"226",2003,"226","Santa Clara","WCC","12-15","-6.25","96.9","256","103.2","184","65.1","251","+.083","15","-0.77","164"
"227",2003,"227","FIU","SB","7-21","-6.29","95.0","272","101.3","148","61.6","313","-.101","315","+0.88","141"
"228",2003,"228","Birmingham Southern","BSth","17-9","-6.59","100.5","201","107.1","253","63.4","288","+.035","79","-12.10","316"
